algorithm,seed,episode,reward,episode_length,success,skill_gap_initial,skill_gap_final,skill_gap_reduction,skill_gap_reduction_pct,quiz_initial,quiz_final,quiz_improvement,avg_quiz_score,course_completion,video_completion,learning_progress_initial,learning_progress_final,learning_progress_improvement,target_skill_coverage,recommendation_success,steps_to_skill_goal,average_q_value,std_q_value
Dueling DQN,42,1,5.20770850758143,12,1,0.836741839603006,0.8418065676017275,-0.0050647279987214855,-0.6052915916245395,67.94446639866713,57.40609046397014,-10.538375934696994,77.98797650565037,0.0,100.0,0.16709114078853082,0.12415284044307377,-0.04293830034545705,0.0,83.33333333333334,12,2.4400803626314107,1.1770261595333273
Dueling DQN,42,2,5.556471513370695,12,1,0.882346933909034,0.7797633253573965,0.1025836085516375,11.62622145658336,100.0,83.60649946708993,-16.393500532910068,85.19689164881825,0.0,100.0,0.13737049436549997,0.20716172652297093,0.06979123215747096,0.0,100.0,12,2.455585183005493,1.205369845695667
Dueling DQN,42,3,5.609194504697574,12,1,0.8156981525350622,0.8603398135516738,-0.0446416610166116,-5.47281624677858,72.55142106076482,89.74926893160647,17.197847870841642,88.14997816635088,0.0,100.0,0.17760877139346917,0.14425678172305928,-0.03335198967040989,0.0,100.0,12,2.5093012527981773,1.1721360035870656
Dueling DQN,42,4,5.090520965883865,12,1,0.8653123989448804,0.9029648320907121,-0.037652433145831665,-4.351310947554109,76.79608012845827,26.6185217110783,-50.17755841737997,79.98124409447614,0.0,100.0,0.1645176842131023,0.10228534291991084,-0.06223234129319147,0.0,91.66666666666666,12,2.5295351719694144,1.1831041434075817
Dueling DQN,42,5,5.264210473211767,12,1,0.8047662172797866,0.8461938568835015,-0.04142763960371487,-5.147785619498993,77.12485910281866,91.00651083668468,13.881651733866022,84.97163126475046,0.0,100.0,0.1939299514855927,0.16451129312433477,-0.029418658361257927,0.0,100.0,12,2.534889466709005,1.1934876821276394
Dueling DQN,42,6,5.726436750911632,12,1,0.8409198939609533,0.8450778361222367,-0.004157942161283401,-0.4944516345901156,79.6280220729939,86.61669169036324,6.9886696173693394,89.68639883236925,0.0,100.0,0.17922771643894786,0.16665735283591732,-0.012570363603030543,0.0,100.0,12,2.460159169449985,1.1651832931970045
Dueling DQN,42,7,5.518917229059367,12,1,0.8317208413428094,0.842064810801382,-0.010343969458572522,-1.2436828493887724,74.30166552715579,93.93652700234429,19.6348614751885,84.48357373994476,0.0,100.0,0.1794881863676029,0.15780330383111393,-0.021684882536488953,0.0,100.0,12,2.461961354189311,1.2123082135463084
Dueling DQN,42,8,5.261935844642727,12,1,0.9401517498552632,0.8358385533134893,0.10431319654177384,11.095357377979981,81.46749654769344,79.24853964258891,-2.218956905104534,78.54894580680164,0.0,100.0,0.11019857041216338,0.17044978044833065,0.06025121003616726,0.0,91.66666666666666,12,2.340782513187605,1.2473767545026202
Dueling DQN,42,9,5.345658423040876,12,1,0.8461571763480773,0.8879324173198958,-0.041775240971818506,-4.937054502346233,93.27828460875938,61.52291391245301,-31.755370696306365,82.30704711037727,0.0,100.0,0.13513155853697048,0.1112242230381285,-0.023907335498841983,0.0,100.0,12,2.420373874868652,1.1207478590382387
Dueling DQN,42,10,5.364724730051253,12,1,0.8779162317143749,0.8938689183472501,-0.01595268663287519,-1.8171080630008565,74.2025217189306,88.38452610454088,14.182004385610284,84.52065999193745,0.0,100.0,0.1639521821281572,0.1263492780405253,-0.03760290408763192,0.0,91.66666666666666,12,2.3787659203021314,1.2297342285391557
