algorithm,seed,episode,reward,episode_length,success,skill_gap_initial,skill_gap_final,skill_gap_reduction,skill_gap_reduction_pct,quiz_initial,quiz_final,quiz_improvement,avg_quiz_score,course_completion,video_completion,learning_progress_initial,learning_progress_final,learning_progress_improvement,target_skill_coverage,recommendation_success,steps_to_skill_goal,average_q_value,std_q_value
DQN,42,1,4.829607800617707,12,1,0.836741839603006,0.8418065676017275,-0.0050647279987214855,-0.6052915916245395,94.13268090399085,83.59044260966216,-10.542238294328683,72.77039260764487,0.0,100.0,0.16709114078853082,0.12415284044307377,-0.04293830034545705,0.0,91.66666666666666,12,2.707021007279955,1.4187597889514885
DQN,42,2,5.479535297529896,12,1,0.882346933909034,0.7797633253573965,0.1025836085516375,11.62622145658336,85.92604580372078,77.50223408895044,-8.423811714770338,84.33094644221144,0.0,100.0,0.13737049436549997,0.20716172652297093,0.06979123215747096,0.0,91.66666666666666,12,2.4552495239596244,1.2977244851089464
DQN,42,3,4.582572105688042,12,1,0.8156981525350622,0.8603398135516738,-0.0446416610166116,-5.47281624677858,55.38799774848994,86.50485144892633,31.116853700436394,73.36928073288611,0.0,100.0,0.17760877139346917,0.14425678172305928,-0.03335198967040989,0.0,75.0,12,2.4761265556682894,1.2938806018048832
DQN,42,4,5.1955387035992615,12,1,0.8653123989448804,0.9029648320907121,-0.037652433145831665,-4.351310947554109,76.75136102191658,0.0,-76.75136102191658,79.73566749045968,0.0,100.0,0.1645176842131023,0.10228534291991084,-0.06223234129319147,0.0,91.66666666666666,12,2.720138436155604,1.2729042402572481
DQN,42,5,5.122383444729183,12,1,0.8047662172797866,0.8461938568835015,-0.04142763960371487,-5.147785619498993,67.93919306268612,0.1629157651254702,-67.77627729756064,80.67482172640842,0.0,100.0,0.1939299514855927,0.16451129312433477,-0.029418658361257927,0.0,91.66666666666666,12,2.8313520622267547,1.3173550382930435
DQN,42,6,5.628165774065037,12,1,0.8409198939609533,0.8450778361222367,-0.004157942161283401,-0.4944516345901156,86.33348049017857,67.86880964977397,-18.464670840404608,88.4730066672298,0.0,100.0,0.17922771643894786,0.16665735283591732,-0.012570363603030543,0.0,100.0,12,2.677737033445967,1.3242827564471578
DQN,42,7,4.696132435853625,12,1,0.8317208413428094,0.842064810801382,-0.010343969458572522,-1.2436828493887724,53.48336102543303,100.0,46.51663897456697,73.72487341073446,0.0,100.0,0.1794881863676029,0.15780330383111393,-0.021684882536488953,0.0,75.0,12,2.4835051973046807,1.3265084872083661
DQN,42,8,5.440035796987824,12,1,0.9401517498552632,0.8358385533134893,0.10431319654177384,11.095357377979981,88.06742608479983,54.120292385992165,-33.94713369880767,82.37778832631079,0.0,100.0,0.11019857041216338,0.17044978044833065,0.06025121003616726,0.0,91.66666666666666,12,2.443686231076239,1.3058299864632283
DQN,42,9,5.340048654253672,12,1,0.8461571763480773,0.8879324173198958,-0.041775240971818506,-4.937054502346233,96.71606189079893,70.25037586618248,-26.465686024616446,83.47272200454087,0.0,100.0,0.13513155853697048,0.1112242230381285,-0.023907335498841983,0.0,91.66666666666666,12,2.5292478497992197,1.2520803039048647
DQN,42,10,5.062244791424698,12,1,0.8779162317143749,0.8938689183472501,-0.01595268663287519,-1.8171080630008565,81.82827310501202,70.28005559093619,-11.54821751407583,80.08860778297624,0.0,100.0,0.1639521821281572,0.1263492780405253,-0.03760290408763192,0.0,100.0,12,2.493926300805407,1.3622825756535792
DQN,42,11,5.438403318632546,12,1,0.8762947839817304,0.8997489794537286,-0.02345419547199812,-2.6765188953226846,95.7000878501329,76.80005953669755,-18.900028313435357,83.32836989850645,0.0,100.0,0.12570532206455146,0.1480876930613906,0.02238237099683915,0.0,100.0,12,2.3812437942513824,1.2439756646942153
